video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/shorts/kkpXcw1MBDk,/@trtworld,TRT World,Mexicans fly kites in support of Palestinian children in Gaza,651K,7 days,"On World Kite Day, Mexicans made kites and flew them into the sky of Mexico City to show solidarity with the people of Gaza amid ...",2024-01-22 18:52:03.650902
/watch?v=eH27KaS9J2E&pp=ygUEZ2F6YQ%3D%3D,/@canal26,Canal 26,MEDIO ORIENTE | Al-Qassam difundió nuevos ataques en Gaza,18K,18 hours,Canal26 #Al-Qassam #Gaza Estas brigadas son el brazo armado de la organización islamista palestina Hamás. Suscríbete al ...,2024-01-22 18:52:03.654043
/shorts/hwYSH3vWCGE,/@ajplus,AJ+,"UN estimates 1,000 children in Gaza have lost their limbs due to Israel's attacks",541K,1 month,Subscribe for more videos: https://ajplus.co/subscribe Follow us on Instagram: https://www.instagram.com/ajplus/ Like us on ...,2024-01-22 18:52:03.657188
/watch?v=xtGo2NFXGm8&pp=ygUEZ2F6YQ%3D%3D,/@TheYoungTurks,The Young Turks,CNN Witnesses Israeli Forces Desecrating Graves In Gaza,221K,2 days,CNN correspondent Jeremy Diamond discovered several grave sites totally desecrated and ruined by IDF forces. Cenk Uygur ...,2024-01-22 18:52:03.660206
/watch?v=UFZCV4WGFsc&pp=ygUEZ2F6YQ%3D%3D,/@trtworld,TRT World,Gaza's last university destroyed by Israeli forces,46K,3 days,"'I don't know what was inside the building' Israel blew up the only surviving university, Al Israa, in Palestine's Gaza, but US ...",2024-01-22 18:52:03.663382
/watch?v=fZ84By3i1T8&pp=ygUEZ2F6YQ%3D%3D,/@ajplus,AJ+,"‘It’s Bisan From Gaza, And People Were Tortured At The Indonesian Hospital’",95K,3 days,Video journalist Bisan Owda brings us exclusive eyewitness testimonies from survivors she spoke to in December who described ...,2024-01-22 18:52:03.667037
/watch?v=qX4YDbzm-MQ&pp=ygUEZ2F6YQ%3D%3D,/@aljazeeraenglish,Al Jazeera English,Israeli attacks on Khan Younis and Rafah in southern Gaza continue,43K,11 hours,"Israel has intensified its bombing of the southern city, killing at least 12 people in overnight strikes. Injured Palestinians were taken ...",2024-01-22 18:52:03.675329
/watch?v=oVWDz6HzozI&pp=ygUEZ2F6YQ%3D%3D,/@aljazeeraenglish,Al Jazeera English,"Death toll in Gaza surpasses 25,000 as Israel steps up attacks",53K,1 day,"In the past 24 hours, the Israeli army has been accused of committing several massacres against Palestinians in the Gaza Strip, ...",2024-01-22 18:52:03.679617
/shorts/g0o1QQzANl8,/@ajplus,AJ+,#Israeli forces buried Palestinians alive in occupied #Gaza witnesses say,846K,1 month,Subscribe for more videos: https://ajplus.co/subscribe Follow us on Instagram: https://www.instagram.com/ajplus/ Like us on ...,2024-01-22 18:52:03.683844
/watch?v=2iDAap0SN-U&pp=ygUEZ2F6YQ%3D%3D,/@livenowfox,LiveNOW from FOX,"Iran vows revenge on Israel for Damascus airstrike amid Gaza invasion, Hamas war | LiveNOW from FOX",272K,1 day,Iran's President Ebrahim Raisi has vowed to punish Israel for the airstrike on the Syrian capital of Damascus that killed five Iranian ...,2024-01-22 18:52:03.686644
